ï»¿Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,..,..,..,8.444163227,1.055555787,11.17527024,5.554137623,13.74020499,3.611368392,21.02064874,8.433290482,6.113685169,14.43474129
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Albania,ALB,7.300000023,6.999999985,2.9,5.700000002,5.900000013,5.499911933,5.000010215,5.900103896,7.536298983,3.354239312,3.706905672,2.545359489,1.623698601
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Algeria,DZA,2.200000704,4.612523742,5.6,7.2,4.3,5.900000008,1.699999998,3.399999998,2,1.599979654,3.600169066,2.800018252,3.299991384
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Andorra,ADO,1.165787064,6.066780597,6.426845139,12.02391974,8.069504291,7.839704496,4.585310593,0.078039378,-8.594256008,-3.817986024,-5.347977181,-4.802675037,-1.760010328
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Angola,AGO,3.012076166,4.220965156,13.82179251,5.247569624,10.87946506,18.26147368,20.73512488,22.5930543,13.81714581,2.412869693,3.407654794,3.918596986,5.155440545
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Antigua and Barbuda,ATG,5.041769297,-3.194241893,2.92425143,5.913631425,5.286420149,6.083228432,13.37640019,9.49894448,0.071111021,-12.03601506,-7.142991335,-1.793435604,4.019541839
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,-0.788998929,-4.408839696,-10.89448481,8.837040776,9.029573321,9.198488983,8.402868566,7.965573248,3.074945503,0.050024456,9.451578331,8.386451456,0.801760179
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Armenia,ARM,5.9,9.556641496,13.18630053,14.04079506,10.46784186,13.86571125,13.19800352,13.74920196,6.900000002,-14.14998864,2.199999999,4.699999999,7.200000003
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Aruba,ABW,-0.364695779,-2.164459409,0.465289865,7.519472373,1.176690484,0.380390971,2.355119443,-3.654626242,-6.881302064,-5.653502086,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Australia,AUS,3.872015071,1.92866859,3.863095587,3.079248901,4.156584913,3.216467335,2.990667578,3.760144101,3.702292955,1.731817915,1.962366101,2.321478902,3.727818428
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Austria,AUT,3.368389487,1.350512043,1.655867072,0.756148722,2.705728356,2.140718091,3.350825444,3.621477457,1.547294053,-3.799099689,1.880117659,3.071425817,0.883846197
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Azerbaijan,AZE,11.09999925,9.9,10.5999992,11.20000024,10.2000004,26.40000081,34.49999951,25.04899952,10.77242078,9.410653764,4.854339324,0.065922768,2.200000188
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Bahamas, The",BHS,4.1492464,2.625627121,2.704629513,-1.264744629,0.882884233,3.39529267,2.516863841,1.446522215,-2.323937248,-4.175259175,1.538778853,0.612902596,2.217312979
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bahrain,BHR,5.299994794,2.491033565,3.614148289,6.023951196,6.980946984,6.768939709,6.468567672,8.292443822,6.245128341,2.539772469,4.334407088,2.100184109,3.588704571
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bangladesh,BGD,5.293294718,5.077287776,3.83312394,4.739567399,5.23953291,6.535944941,6.671868265,7.058636206,6.013789759,5.045124794,5.571802274,6.46438388,6.521435078
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Barbados,BRB,2.3,-2.550184351,0.672622176,1.973066082,1.433251433,3.996770287,5.706525583,1.670946604,0.343148127,-4.139670503,0.253470343,0.75850389,0.009287901
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belarus,BLR,5.8,4.725306006,5.045267318,7.043192675,11.44974293,9.4,10,8.6,10.2,0.2,7.740781216,5.543711461,1.731391223
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belgium,BEL,3.550426348,0.924198231,1.559543427,0.889780595,3.434787675,1.893853556,2.630146232,3.000341023,0.953468801,-2.618664789,2.501054567,1.618317967,0.092812881
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belize,BLZ,13.03876213,5.015662999,5.118559443,9.329248703,4.648087296,2.578008809,4.58160037,1.105586127,3.229101316,0.713250728,3.323871124,2.103950804,3.824748783
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Benin,BEN,4.861667564,6.248410547,4.421114343,3.882508345,3.119857104,2.865236818,3.752154478,4.626396471,5.014638407,2.663222588,2.611487073,3.26371861,5.395889626
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bermuda,BMU,9.317155577,7.222436009,-1.477790375,3.410706204,2.321266476,1.674207149,5.543865928,2.845890114,1.52789391,-5.284177149,-2.094113534,-3.33949441,-4.834540171
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bhutan,BTN,6.93302424,8.203773861,10.72784061,7.664334042,5.896408192,7.12255965,6.849365932,17.92582494,4.768354226,6.657223796,11.73085436,7.890913893,5.071709815
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bolivia,BOL,2.507810988,1.683799034,2.485565815,2.711339832,4.173295561,4.4214331,4.797008869,4.564384269,6.148497875,3.356999574,4.126722591,5.173930421,5.176430978
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bosnia and Herzegovina,BIH,5.500000436,4.399999507,5.300000267,4.000000065,6.099999771,4.999999926,6.200000427,6.837999841,5.420000102,-2.910000257,0.700000126,0.957763336,-1.209023126
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Botswana,BWA,1.987695854,0.250573867,6.069530868,4.625894792,2.705821737,4.556645657,7.959531063,8.682340667,6.245302842,-7.652170569,8.563257129,6.048549263,4.83138698
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,4.383024533,1.279024665,3.071724891,1.223205419,5.66067353,3.148900043,3.999324276,6.005801827,5.019316013,-0.235978102,7.572067155,3.916382188,1.762488805
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brunei Darussalam,BRN,2.849421759,2.744040816,3.872097249,2.903955133,0.504318384,0.387506909,4.397720159,0.15458146,-1.939714507,-1.764535725,2.598965911,3.429818477,0.948354662
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bulgaria,BGR,6.038339644,3.798872168,4.480223622,5.357172335,6.559714769,5.955290762,6.470400067,6.907382374,5.754700422,-5.011937411,0.655325112,1.982003144,0.492189952
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burkina Faso,BFA,1.820241893,6.613399555,4.353004323,7.802439898,4.478474349,8.661861605,6.253158604,5.655005118,7.29449815,2.962014371,8.446325183,6.521769448,6.452674754
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burundi,BDI,-0.856864059,2.055807109,4.446519419,-1.223727959,4.833657762,0.900000003,5.384657398,4.785831951,5.048118783,3.468425425,3.785902543,4.191625681,4.01936553
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cambodia,KHM,8.766785439,8.038631629,6.687880848,8.505898789,10.34052873,13.25008556,10.77108716,10.21257181,6.691577475,0.086696959,5.963078575,7.069569946,7.313345505
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cameroon,CMR,4.173581032,4.514271087,4.009044571,4.030993316,3.701854054,2.296852856,3.224002985,3.255664493,2.884046234,1.931850591,3.268648874,4.140591847,4.588738701
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Canada,CAN,5.123124976,1.6883736,2.801865677,1.925321407,3.138786775,3.163130123,2.621779104,2.008315698,1.17542339,-2.711467282,3.374248555,2.96010266,1.922864994
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cabo Verde,CPV,14.28486883,2.231654493,5.250891246,4.176259302,10.19707261,6.912457988,7.983750447,15.17068797,6.650520523,-1.270403675,1.466912709,3.968783812,1.081918311
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Central African Republic,CAF,-2.489450099,4.464782641,3.616488017,-5.397469235,5.994991722,0.908086102,3.639311193,4.607561983,2.054126562,1.709220967,3.046656852,3.300739707,4.112756215
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chad,TCD,-0.879681025,11.65813465,8.491209819,14.72166701,33.62937185,17.33253374,0.648262014,3.271499579,3.052691532,4.217695552,13.55010086,0.082869798,8.882576072
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Channel Islands,CHI,5.826641469,-1.51296126,-1.632206598,-3.202156942,0.224197396,1.377734157,4.882299364,5.898329661,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chile,CHL,4.495792997,3.348180391,2.166908634,3.956748481,6.041086739,5.559452531,4.40497269,5.1608256,3.292454897,-1.036431779,5.753708903,5.839640585,5.457130618
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,8.429282161,8.29837441,9.090909091,10.01997337,10.07564297,11.35239142,12.6882251,14.19496167,9.623377486,9.233551095,10.63170823,9.484506202,7.750297593
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Colombia,COL,4.419993,1.677898308,2.503980465,3.918271904,5.333022067,4.706555934,6.697515258,6.900627655,3.546804886,1.651549245,3.971800705,6.589511516,4.043943806
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Comoros,COM,1.417852661,11.8482468,2.324779259,2.104101953,1.919602379,2.837407764,2.647596235,0.799736914,0.399999968,1.949999978,2.199999982,2.600000088,2.999999972
