Name,Rating,Category,Price Rating,Neighborhood,City,cityNumer
The People's Republik,3.5,Bars,1,Cambridge,Cambridge,2
Tia's on the Waterfront,2.5,"Seafood, American (Traditional), Cocktail Bars",2,Waterfront/Boston,Boston,1
The Beehive,4,"Jazz & Blues, American (New)",2,South End/Boston,Boston,1
The Pour House,3.5,"Bars, American (Traditional), American (New)",1,Back Bay/Boston,Boston,1
Howl at the Moon Dueling Piano Bar,3,"Bars, Music Venues",2,The Financial District/Boston,Boston,1
Scholars American Bistro & Cocktail Lounge,3,"American (New), Lounges, Pool Halls",2,Down Town Crossing/Boston,Boston,1
MIJA Cantina & Tequila Bar,2.5,"Bars, Mexican",2,Faneuil Hall/Boston,Boston,1
Back Bay Social Club,3.5,American (New),2,Back Bay/Boston,Boston,1
Les Zygomates,4,"French, Jazz & Blues, Venues & Event Spaces",3,Leather District/Boston,Boston,1
Carrie Nation,3.5,American (Traditional),2,Beacon Hill/Boston,Boston,1
Brick and Mortar,3.5,Bars,2,Cambridge,Cambridge,2
Stoddard's,3.5,"Bars, American (New)",2,Downtown Crossing/Boston,Boston,1
Jacob Wirth,3.5,German,2,Chinatown/Boston,Boston,1
Row 34,4,"American (New), Seafood",3,South Boston/Boston,Boston,1
Post 390,3.5,"Bars, American (Traditional)",3,Back Bay/Boston,Boston,1
Bukowski Tavern,4,"Pubs, American (Traditional)",2,Back Bay/Boston,Boston,1
Whisky Priest,2.5,Pubs,2,South Boston/Boston,Boston,1
Hong Kong,3,"Lounges, Chinese, Dance Clubs",1,Faneuil Hall/Boston,Boston,1
Nix's Mate,3.5,"American (New), Lounges, Cocktail Bars",2,Financial District/Boston,Boston,1
Granary Tavern,3.5,"American (new), Pubs",2,Financial District/Boston,Boston,1
The Gallows,4,American (New),2,South End/Boston,Boston,1
Alibi- The Liberty Hotel,3.5,"Lounges, American (New)",3,Beacon Hill/Boston,Boston,1
The Hawthorne,4,Cocktail Bars,2,Fenway/Boston,Boston,1
Belly Wine Bar,3.5,Wine Bars,2,Cambridge,Cambridge,2
Plough & Stars,4,"Music Venues, American (Traditional), Irish",2,Cambridge,Cambridge,2
Backbar,4.5,Cocktail Bars,2,Somerville,Somerville,3
The Burren,3.5,"Irish, American (Traditional), Pubs",2,Somerville,Somerville,3
Eastern Standard,4,"American (New), Lounges",3,Fenway/Boston,Boston,1
Bronwyn,3.5,"German, Cocktail Bars",2,Somerville,Somerville,3
